,Scrape_Date,Release_Date,Last_Seen,Occurences,Item_Name,Item_Type,Rarity,VC_Cost,Rating,Total_Vote
144,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Great Protector's Shield
",Back Bling,Marvel,"
Shang-Chi
",No Rating, 
145,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Hawkguy's Arsenal
",Back Bling,Marvel,"
Clint Barton
",Rated: 5/5,from 1 vote
146,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Herald's Star
",Back Bling,Marvel,"
Silver Surfer
",Rated: 3.8/5,from 5 votes
147,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Infernal Chain
",Back Bling,Marvel,"
Ghost Rider
",Rated: 2.6/5,from 5 votes
148,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Infinity Gauntlet
",Back Bling,Marvel,"
Thanos
",Rated: 4.5/5,from 2 votes
149,10/20/2022,"Introduced in: Chapter 2, Season 4",Release Date: Never,Last Seen: Never,"
Iron Man Backplate
",Back Bling,Marvel,"

Tier 89 (S14)
",Rated: 5/5,from 1 vote
150,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Kate's Quiver
",Back Bling,Marvel,"
Kate Bishop
",Rated: 5/5,from 1 vote
151,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Kinetic Cards
",Back Bling,Marvel,"
Gambit
",Rated: 4/5,from 2 votes
152,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
King's Cowl
",Back Bling,Marvel,"
Black Panther
",Rated: 5/5,from 1 vote
153,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Kree Backplate
",Back Bling,Marvel,"
Captain Marvel
",Rated: 5/5,from 2 votes
154,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Loki's Cape
",Back Bling,Marvel,"
Fortnite Crew #8
",Rated: 5/5,from 1 vote
155,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Meanwhile...
",Back Bling,Marvel,"

Page 10 (S22)
",No Rating, 
156,10/20/2022,"Introduced in: Chapter 3, Season 3",Release Date: Never,Last Seen: Never,"
Mighty Thor's Cape
",Back Bling,Marvel,"
Gods of Thunder Pack
",Rated: 5/5,from 1 vote
157,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Mimic's Shield
",Back Bling,Marvel,"
Taskmaster
",Rated: 5/5,from 1 vote
